time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-11-11 9:36:46.561	WT901BLE68(3B2E17FE8DBA)	-0.020	0.045	0.992	0.671	1.770	-0.549	1.79	1.08	83.25	22.573	3.400	16.480	0.74612	0.00659	0.01736	0.66547	20.8	0.00	0.000	13113	100
2025-11-11 9:36:46.677	WT901BLE68(3B2E17FE8DBA)	-0.030	0.029	0.994	-1.526	-0.061	-2.930	1.68	1.13	83.18	22.573	3.400	16.480	0.74783	0.00446	0.01709	0.66357	20.8	0.00	0.000	13113	100
2025-11-11 9:36:46.755	WT901BLE68(3B2E17FE8DBA)	-0.055	-0.010	1.027	-1.099	1.404	0.488	1.47	1.25	83.10	22.573	3.400	16.480	0.74783	0.00446	0.01709	0.66357	20.8	0.00	0.000	13113	100
2025-11-11 9:36:46.871	WT901BLE68(3B2E17FE8DBA)	-0.025	0.034	0.989	-0.305	-0.488	0.916	1.54	1.30	83.03	22.573	3.400	16.480	0.74783	0.00446	0.01709	0.66357	20.8	0.00	0.000	13113	100
2025-11-11 9:36:46.962	WT901BLE68(3B2E17FE8DBA)	-0.040	0.044	0.993	-0.488	0.183	0.000	1.59	1.26	83.18	22.573	3.400	16.480	0.74783	0.00446	0.01709	0.66357	20.8	0.00	0.000	13113	100
2025-11-11 9:36:47.81	WT901BLE68(3B2E17FE8DBA)	-0.006	0.015	1.006	-0.854	-3.113	-0.427	1.52	1.15	83.17	22.320	3.207	16.387	0.74783	0.00446	0.01709	0.66357	20.8	0.00	0.000	13113	100
2025-11-11 9:36:47.160	WT901BLE68(3B2E17FE8DBA)	-0.006	0.053	0.975	0.488	0.610	0.244	1.60	1.05	83.24	22.320	3.207	16.387	0.74719	0.00342	0.01523	0.66434	20.8	0.00	0.000	13113	100
2025-11-11 9:36:47.277	WT901BLE68(3B2E17FE8DBA)	-0.012	0.031	1.008	-1.343	-0.183	0.000	1.44	1.04	83.29	22.320	3.207	16.387	0.74719	0.00342	0.01523	0.66434	20.8	0.00	0.000	13113	100
2025-11-11 9:36:47.368	WT901BLE68(3B2E17FE8DBA)	0.002	0.050	0.992	-0.427	1.526	-1.282	1.46	1.11	83.16	22.320	3.207	16.387	0.74719	0.00342	0.01523	0.66434	20.8	0.00	0.000	13113	100
2025-11-11 9:36:47.487	WT901BLE68(3B2E17FE8DBA)	0.042	0.066	0.991	0.671	0.610	-3.235	1.41	1.37	83.08	22.320	3.207	16.387	0.74719	0.00342	0.01523	0.66434	20.8	0.00	0.000	13113	100
